Table Name,State Code,Distt Code,State Name,Area,Age,Total Person,Total Males,Total Females,Illiterate Person,Illiterate Males,Illiterate Females,Literate Person,Literate Males,Literate Females,Literate without educational level Person,Literate without educational level Males,Literate without educational level Females,Below primary Person,Below primary Males,Below primary Females,Primary Person,Primary Males,Primary Females,Middle Person,Middle Males,Middle Females,Secondary Person,Secondary Males,Secondary Females,Higher secondary Person,Higher Secondary Males,Higher Secondary Females,Non-technical diploma Person,Non-technical diploma Males,Non-technical diploma Females,Technical diploma Person,Technical diploma Males,Technical diploma Females,Graduate Person,Graduate Males,Graduate Females,Unclassified Person,Unclassified Males,Unclassified Females,Year
C2508SC,1,0,JAMMU & KASHMIR,Total,All ages,770155,403256,366899,384637,165577,219060,385518,237679,147839,11671,5913,5758,84057,48423,35634,111708,65517,46191,106937,69101,37836,48884,33154,15730,14052,9338,4714,20,14,6,254,214,40,7902,5980,1922,33,25,8,1991
C2508SC,2,0,HIMACHAL PRADESH,Total,All ages,1502170,763333,738837,597375,241591,355784,904795,521742,383053,15879,8231,7648,238885,130168,108717,293385,158154,135231,150394,89720,60674,138037,89951,48086,43720,27538,16182,782,461,321,4762,3705,1057,18878,13772,5106,73,42,31,1991
C2508SC,3,0,PUNJAB,Total,All ages,7028723,3714350,3314373,3687458,1729996,1957462,3341265,1984354,1356911,79662,39674,39988,884341,498045,386296,1054791,596457,458334,560041,353835,206206,515731,334913,180818,162400,102978,59422,2083,1060,1023,16184,11813,4371,65624,45326,20298,408,253,155,1991
C2508SC,4,0,CHANDIGARH,Total,All ages,157597,86187,71410,68035,30703,37332,89562,55484,34078,1267,704,563,19690,11226,8464,25354,14905,10449,16274,10615,5659,14393,9714,4679,6410,4065,2345,69,26,43,564,415,149,5521,3802,1719,20,12,8,1991
C2508SC,5,0,UTTARAKHAND,Total,All ages,1517186,780772,736414,733719,289961,443758,783467,490811,292656,16926,10073,6853,245348,134061,111287,239860,144576,95284,153183,109339,43844,63713,46409,17304,36743,25604,11139,69,59,10,1943,1653,290,25532,18946,6586,150,91,59,1991
C2508SC,6,0,HARYANA,Total,All ages,4091110,2188585,1902525,2223108,983029,1240079,1868002,1205556,662446,32901,18240,14661,598892,346797,252095,627028,387935,239093,278259,193538,84721,213588,165192,48396,70668,54731,15937,1212,744,468,9154,8069,1085,36219,30249,5970,81,61,20,1991
C2508SC,7,0,DELHI,Total,All ages,2343255,1265182,1078073,952895,405062,547833,1390360,860120,530240,14521,8117,6404,310084,172089,137995,428420,247788,180632,290947,189076,101871,183327,128294,55033,88255,59718,28537,278,204,74,2386,2010,376,72074,52781,19293,68,43,25,1991
C2508SC,8,0,RAJASTHAN,Total,All ages,9694462,5067679,4626783,5671498,2288497,3383001,4022964,2779182,1243782,300942,154178,146764,1615470,987761,627709,1074636,773672,300964,557786,453723,104063,268131,228552,39579,108169,92797,15372,303,283,20,3311,2827,484,94212,85385,8827,4,4,0,1991
C2508SC,9,0,UTTAR PRADESH,Total,All ages,35148377,18502838,16645539,22232111,9599419,12632692,12916266,8903419,4012847,593978,371167,222811,4309794,2572111,1737683,3499524,2378206,1121318,2395237,1853318,541919,1100232,884266,215966,618876,499345,119531,877,816,61,9744,8944,800,386692,334354,52338,1312,892,420,1991
C2508SC,10,0,BIHAR,Total,All ages,13048608,6784676,6263932,10167713,4655728,5511985,2880895,2128948,751947,190011,129606,60405,953199,638538,314661,817180,601713,215467,377352,298624,78728,323648,266353,57295,112538,96164,16374,502,444,58,3429,3058,371,102628,94099,8529,408,349,59,1991
C2508SC,11,0,SIKKIM,Total,All ages,27165,13807,13358,12776,5675,7101,14389,8132,6257,304,212,92,6248,3553,2695,4085,2265,1820,1774,974,800,1102,583,519,502,304,198,0,0,0,21,17,4,352,223,129,1,1,0,1991
C2508SC,12,0,ARUNACHAL PRADESH,Total,All ages,6188,3590,2598,2718,1267,1451,3470,2323,1147,31,17,14,1143,663,480,883,594,289,615,454,161,443,332,111,196,149,47,0,0,0,24,20,4,134,94,40,1,0,1,1991
C2508SC,14,0,MANIPUR,Total,All ages,60037,29934,30103,22949,9080,13869,37088,20854,16234,930,559,371,6094,3438,2656,6513,3451,3062,9022,5163,3859,5711,3256,2455,3986,2110,1876,3,2,1,65,44,21,4756,2825,1931,8,6,2,1991
C2508SC,15,0,MIZORAM,Total,All ages,272,212,60,49,36,13,223,176,47,7,6,1,45,26,19,44,38,6,56,45,11,43,40,3,11,10,1,0,0,0,3,2,1,14,9,5,0,0,0,1991
C2508SC,16,0,TRIPURA,Total,All ages,555724,283186,272538,195995,82330,113665,359729,200856,158873,4954,2395,2559,139241,73325,65916,115877,63370,52507,61769,36352,25417,20802,13096,7706,6359,4429,1930,12,8,4,387,332,55,10306,7537,2769,22,12,10,1991
C2508SC,17,0,MEGHALAYA,Total,All ages,11139,5920,5219,5888,2627,3261,5251,3293,1958,250,121,129,1891,1140,751,1292,800,492,697,446,251,722,499,223,212,152,60,0,0,0,2,2,0,183,131,52,2,2,0,1991
