Table Name,State Code,Distt Code,State Name,Area,Age,Total Person,Total Males,Total Females,Illiterate Person,Illiterate Males,Illiterate Females,Literate Person,Literate Males,Literate Females,Literate without educational level Person,Literate without educational level Males,Literate without educational level Females,Below primary Person,Below primary Males,Below primary Females,Primary Person,Primary Males,Primary Females,Middle Person,Middle Males,Middle Females,Secondary Person,Secondary Males,Secondary Females,Higher secondary Person,Higher Secondary Males,Higher Secondary Females,Non-technical diploma Person,Non-technical diploma Males,Non-technical diploma Females,Technical diploma Person,Technical diploma Males,Technical diploma Females,Graduate Person,Graduate Males,Graduate Females,Unclassified Person,Unclassified Males,Unclassified Females,Year
C2508SC,0,0,INDIA,Total,All ages,166635700,86088760,80546940,91317415,38655873,52661542,75318285,47432887,27885398,3052112,1763953,1288159,24578308,14228372,10349936,21544084,13244600,8299484,12258556,8216655,4041901,7839894,5465166,2374728,3412305,2448561,963744,22424,15129,7295,288048,233146,54902,2316640,1813322,503318,5914,3983,1931,1991
C2508SC,0,0,INDIA,Total,0-6,28914095,14916245,13997850,28914095,14916245,13997850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,0,0,INDIA,Total,7,4028454,2076683,1951771,1652162,792161,860001,2376292,1284522,1091770,37221,21169,16052,2338702,1263155,1075547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,198,171,1991
C2508SC,0,0,INDIA,Total,8,5572006,2906559,2665447,1830354,846793,983561,3741652,2059766,1681886,46469,26283,20186,3694849,2033293,1661556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,190,144,1991
C2508SC,0,0,INDIA,Total,9,3594225,1855837,1738388,736477,316142,420335,2857748,1539695,1318053,22156,11836,10320,2643583,1423527,1220056,191856,104254,87602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,78,75,1991
C2508SC,0,0,INDIA,Total,10,6055780,3230125,2825655,1522392,662262,860130,4533388,2567863,1965525,51068,28470,22598,3387135,1906237,1480898,1094979,633046,461933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,110,96,1991
C2508SC,0,0,INDIA,Total,11,2977176,1574666,1402510,451607,176162,275445,2525569,1398504,1127065,19855,10257,9598,1195712,656513,539199,1309910,731699,578211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,35,57,1991
C2508SC,0,0,INDIA,Total,12,5297235,2841825,2455410,1220937,498084,722853,4076298,2343741,1732557,47404,25032,22372,1416642,795405,621237,2412786,1404800,1007986,199302,118428,80874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,76,88,1991
C2508SC,0,0,INDIA,Total,13,3292278,1703523,1588755,600357,214538,385819,2691921,1488985,1202936,29283,13892,15391,531108,275562,255546,1647671,930577,717094,483740,268907,214833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,47,72,1991
C2508SC,0,0,INDIA,Total,14,3709853,1964072,1745781,795825,297434,498391,2914028,1666638,1247390,40442,20100,20342,457656,241186,216470,1362034,791623,570411,1053794,613675,440119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,54,48,1991
