Table Name,State Code,Distt Code,State Name,Area,Age,Total Person,Total Males,Total Females,Illiterate Person,Illiterate Males,Illiterate Females,Literate Person,Literate Males,Literate Females,Literate without educational level Person,Literate without educational level Males,Literate without educational level Females,Below primary Person,Below primary Males,Below primary Females,Primary Person,Primary Males,Primary Females,Middle Person,Middle Males,Middle Females,Secondary Person,Secondary Males,Secondary Females,Higher secondary Person,Higher Secondary Males,Higher Secondary Females,Non-technical diploma Person,Non-technical diploma Males,Non-technical diploma Females,Technical diploma Person,Technical diploma Males,Technical diploma Females,Graduate Person,Graduate Males,Graduate Females,Unclassified Person,Unclassified Males,Unclassified Females,Year
C2508SC,1,0,JAMMU & KASHMIR,Rural,0-6,99245,52085,47160,99245,52085,47160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Rural,7,14818,7712,7106,6208,3037,3171,8610,4675,3935,199,103,96,8410,4572,3838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1991
C2508SC,1,0,JAMMU & KASHMIR,Rural,8,17956,9272,8684,5328,2409,2919,12628,6863,5765,187,93,94,12441,6770,5671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Rural,9,14252,7380,6872,3191,1337,1854,11061,6043,5018,117,69,48,10188,5593,4595,756,381,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Rural,10,19583,10283,9300,3798,1504,2294,15785,8779,7006,149,57,92,12086,6824,5262,3550,1898,1652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Rural,11,12573,6583,5990,2144,768,1376,10429,5815,4614,78,38,40,5260,2996,2264,5091,2781,2310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Rural,12,19697,10188,9509,3625,1325,2300,16072,8863,7209,142,64,78,4969,2798,2171,10159,5569,4590,801,432,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1991
C2508SC,1,0,JAMMU & KASHMIR,Rural,13,15395,7824,7571,2697,899,1798,12698,6925,5773,98,48,50,1951,1067,884,8927,4929,3998,1722,881,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Rural,14,17429,8821,8608,3061,977,2084,14368,7844,6524,145,70,75,1371,754,617,8018,4433,3585,4834,2587,2247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
C2508SC,1,0,JAMMU & KASHMIR,Rural,15,16247,8071,8176,3106,1069,2037,13141,7002,6139,126,66,60,868,465,403,5329,2908,2421,6075,3220,2855,743,343,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991
